id,en_sent,en_amr,cn_sent,cn_amr,fa_sent,fa_amr
254,""" Children , """,(c2 / child),“ 孩子们 ， ”,"(x5 / say
      :arg1()  (x2 / 孩子们))",و می‌گويم:,"(x / و
      :op2 (x2 / گفتن))"
255,"I say plainly , "" watch out for the baobabs ! ""","(s / say-01
      :ARG0 (i / i)
      :ARG1 (w / watch-out-02 :mode imperative
            :ARG0 (y / you)
            :ARG1 (b / baobab))
      :manner (p / plain))",我 说 ： 要 当心 那些 猴面包树 呀 ！ ”,"(x2 / 说-01
      :arg0()  (x1 / 我)
      :arg1()  (x4 / 要-03
            :arg0()  (x5 / 当心-01
                  :arg1()  (x7 / 猴面包树
                        :mod()  (x6 / 那些)))
            :mode()  (x8_x9 / expressive)))",بچه‌ها، امان از درختان بائوباب!,"(x / و
      :op1 (x2 / بچه
            :mode (e / exclamative))
      :op2 (x3 / امان‌خواستن
            :ARG1 (x4 / درخت
                  :mod (x5 / بائوباب))))"
256,"My friends , like myself , have been skirting this danger for a long time , without ever knowing it ; and so it is for them that I have worked so hard over this drawing .","(c / cause-01
      :ARG0 (s / skirt-02
            :ARG0 (a / and
                  :op1 (p2 / person
                        :ARG0-of (h2 / have-rel-role-91
                              :ARG1 (i / i)
                              :ARG2 (f / friend)))
                  :op2 i)
            :ARG1 (d / danger
                  :mod (t / this))
            :ARG1-of (k / know-01 :polarity -
                  :ARG0 p2
                  :time (e / ever))
            :ARG1-of (l / long-03))
      :ARG1 (w / work-01
            :ARG0 i
            :ARG1 (p / picture
                  :ARG1-of (d2 / draw-01)
                  :mod (t3 / this))
            :ARG1-of (h / hard-02
                  :degree (s2 / so))
            :beneficiary p2))",为了 叫 我 的 朋友们 警惕 这 种 危险 —— 他们 同 我 一样 长期以来 和 这 种 危险 接触 ， 却 没有 意识 到 它 的 危险性 —— 我 花 了 很 大 的 功夫 画 了 这 副 画 。,"(x37 / 画-01
      :arg0()  (x30 / x3)
      :arg1()  (x41 / 画
            :mod()  (x39 / 这)
            :cunit()  (x40 / 副))
      :aspect()  (x38 / 了)
      :manner()  (x31 / 花-01
            :arg0()  (x30 / x3)
            :arg1()  (x36 / 功夫
                  :mod(x35)  (x34 / 大
                        :degree()  (x33 / 很)))
            :aspect()  (x32 / 了))
      :purpose(x1)  (x2 / 叫
            :arg1()  (x5 / 朋友们
                  :poss(x4)  (x3 / 我)
                  :arg0-of()  (x62 / mean
                        :arg1()  (x64 / contrast
                              :arg1()  (x20 / 接触-01
                                    :arg0()  (x11 / x5)
                                    :arg1(x16)  (x19 / 危险
                                          :mod()  (x17 / 这)
                                          :unit()  (x18 / 种))
                                    :duration()  (x15 / 长期以来))
                              :arg2(x22)  (x24 / 意识-01
                                    :arg1(x25)  (x28 / 危险性
                                          :poss(x27)  (x26 / x19))
                                    :polarity()  (x23 / -))
                              :manner()  (x12_x14 / 一样
                                    :arg0()  (x11 / x5)
                                    :arg1(x12)  (x13 / x3)))))
            :arg2()  (x6 / 警惕-01
                  :arg0()  (x5 / 朋友们)
                  :arg1()  (x9 / 危险
                        :mod()  (x7 / 这)
                        :unit()  (x8 / 种)))))",اينکه من برای کشيدن اين شکل زحمت کشيده‌ام، برای آگاه کردن دوستانم از خطری است که از مدتها پيش مثل خودم با آن روبرو بوده‌اند، بی‌آنکه آن را بشناسند.,"(c / cause-01
      :ARG0 (x / زحمت‌کشیدن
            :ARG0 (x2 / من)
            :ARG1 (x3 / نقاشی‌کشیدن
                  :ARG1 (x4 / شکل
                        :mod (x5 / این))))
      :ARG1 (x6 / آگاه‌کردن
            :ARG0 (x7 / من)
            :ARG1 (x8 / شخص
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 (x9 / من)
                        :ARG2 (x10 / دوست)))
            :ARG2 (x11 / خطر
                  :ARG0-of (x12 / روبروشدن
                        :time (x13 / مدت
                              :mod (x14 / پیش))
                        :ARG1-of (r / resemble-01
                              :ARG0 (x15 / من)))
                  :ARG1-of (x16 / شناختن :polarity -
                        :ARG0 x8))))"
257,The lesson which I pass on by this means is worth all the trouble it has cost me .,"(w / worth-02
      :ARG1 (l / lesson
            :ARG1-of (p / pass-on-09
                  :ARG0 (i / i)
                  :manner (t2 / this)))
      :ARG2 (t / trouble
            :ARG2-of (c / cost-01
                  :ARG1 l
                  :ARG3 i)
            :mod (a / all)))",我 提出 的 这个 教训 意义 是 很 重大 的 ， 花 点 功夫 是 很 值得 的 。,"(x20 / and
      :op1()  (x9 / 重大-01
            :arg0()  (x6 / 意义
                  :mod()  (x5 / 教训
                        :mod()  (x4 / 这个)
                        :arg1-of(x3)  (x2 / 提出-01
                              :arg0()  (x1 / 我))))
            :degree()  (x8 / 很)
            :mode()  (x7_x10 / judgement))
      :op2()  (x17 / 值得-01
            :degree()  (x16 / 很)
            :arg0()  (x12 / 花-01
                  :arg1()  (x14 / 功夫
                        :quant()  (x13 / 点))
                  :mode()  (x15_x18 / judgement))))",درسی که من داده‌ام به زحمتش می‌ارزد.,"(x / ارزیدن
      :ARG0 (x2 / درس
            :ARG1-of (x3 / درس‌دادن
                  :ARG0 (x4 / من)))
      :ARG1 (x5 / زحمت‌کشیدن))"
258,"Perhaps you will ask me , "" Why are there no other drawing in this book as magnificent and impressive as this drawing of the baobabs ? ""","(p / possible-01
      :ARG1 (a / ask-01
            :ARG0 (y / you)
            :ARG1 (p2 / picture :polarity -
                  :ARG1-of (d / draw-01)
                  :mod (o / other)
                  :location (b / book
                        :mod (t / this))
                  :mod (m / magnificent
                        :degree (e / equal)
                        :compared-to (p3 / picture
                              :ARG1-of (d2 / draw-01)
                              :mod (t2 / this)
                              :topic (b2 / baobab)))
                  :ARG0-of (i / impress-01
                        :degree (e2 / equal)
                        :compared-to p3)
                  :ARG0-of (c / cause-01
                        :ARG1 (a2 / amr-unknown)))
            :ARG2 (i2 / i)))",你们 也许 要 问 ， 为什么 这 本 书 中 别的 画 都 没有 这 副 画 那么 壮观 呢 ？,"(x2 / 也许
      :arg0()  (x3 / 要-03
            :arg0()  (x4 / 问-01
                  :arg0()  (x1 / 你们)
                  :arg1()  (x19 / 壮观
                        :arg0()  (x12 / 画
                              :mod()  (x11 / 别的)
                              :degree()  (x18 / 那么)
                              :location(x10)  (x9 / 书
                                    :mod()  (x7 / 这)
                                    :cunit()  (x8 / 本)))
                        :compared-to()  (x17 / 画
                              :mod()  (x15 / 这)
                              :cunit()  (x16 / 副))
                        :polarity()  (x14 / -)
                        :mod()  (x13 / 都)
                        :cause()  (x6 / amr-unknown)
                        :mode()  (x20_x21 / interrogative)))))",شايد شما از خود بپرسيد که چرا در اين کتاب شکلهای ديگری به عظمت شکل درختان بائوباب نيست؟,"(x / پرسیدن
      :ARG0 (x2 / شما)
      :ARG1 (x3 / شکل :polarity -
            :location (x4 / کتاب
                  :mod (x5 / این))
            :mod (x6 / دیگر)
            :mod (x7 / عظیم
                  :degree (e / equal
                        :ARG0 (x8 / شکل
                              :poss (x9 / درخت
                                    :mod (x10 / بائوباب))))))
      :ARG2 x2
      :mod (x11 / شاید))"
259,The reply is simple .,"(s / simple-02
      :ARG1 (t / thing
            :ARG2-of (r / reply-01)))",回答 很 简单 ：,"(x3 / 简单-01
      :arg0()  (x1 / 回答)
      :degree()  (x2 / 很))",جواب خيلی ساده است:,"(x / ساده
      :domain (x2 / جواب)
      :mod (x3 / خیلی))"
260,I have tried .,"(t / try-01
  :ARG0 (i / i))",我 也 试 了 。,"(x3 / 试-01
      :arg0()  (x1 / 我)
      :mod()  (x2 / 也)
      :aspect()  (x4 / 了))",من سعی کرده‌ام،,"(x / سعی‌کردن
      :ARG0 (x2 / من))"
261,But with the others I have not been successful .,"(c / contrast-01
      :ARG2 (s / succeed-01 :polarity -
            :ARG0 (i / i)
            :ARG1 (o / other)))",别的 画 我 也 曾经 试图 画得 好 些 ， 却 没 成功 。,"(x15 / contrast
      :arg1()  (x6 / 试图-01
            :arg1()  (x7_1 / 画-01
                  :manner(x7_2)  (x8 / 好
                        :degree()  (x9 / 些))
                  :arg0()  (x3 / 我)
                  :arg1()  (x2 / 画
                        :mod()  (x1 / 别的)))
            :time()  (x5 / 曾经)
            :mod()  (x4 / 也)
            :arg0()  (x3 / 我))
      :arg2(x11)  (x13 / 成功-01
            :polarity()  (x12 / -)))",اما نتوانسته‌ام از عهده برآيم.,"(c / contrast-01
      :ARG2 (x / توانستن :polarity -
            :ARG0 (x2 / من)
            :ARG1 (x3 / ازعهده‌برآمدن
                  :ARG0 x2)))"
262,When I made the drawing of the baobabs I was carried beyond myself by the inspiring force of urgent necessity .,"(c / carry-01
      :ARG0 (f / force-01
            :ARG0 (n / necessity
                  :mod (u / urgent))
            :ARG0-of (i2 / inspire-01))
      :ARG1 (i / i)
      :destination (b / beyond
            :op1 i)
      :time (d / draw-01
            :ARG0 i
            :ARG1 (b2 / baobab)))",而 当 我 画 猴面包树 时 ， 有 一 种 急切 的 心情 在 激励 着 我 。,"(x19 / contrast
      :arg2(x1)  (x15 / 激励-01
            :arg0()  (x13 / 心情
                  :mod(x12)  (x11 / 急切)
                  :quant()  (x9 / 1)
                  :cunit()  (x10 / 种)
                  :arg1-of()  (x8 / 有-03))
            :mod()  (x14 / 在)
            :aspect()  (x16 / 着)
            :arg1()  (x17 / x3)
            :time(x2_x6)  (x4 / 画-01
                  :arg0()  (x3 / 我)
                  :arg1()  (x5 / 猴面包树))))",فقط وقتی شکل درختان بائوباب را می‌کشيده‌ام، از احساس ضرورت امر دستخوش هيجان بوده‌ام.,"(x / هیجان‌زده
      :domain (x2 / من)
      :time (x3 / نقاشی‌کشیدن
            :ARG0 x2
            :ARG1 (x4 / شکل
                  :topic (x5 / درخت
                        :mod (x6 / بائوباب))))
      :source (x7 / احساس
            :poss (x8 / ضرورت
                  :poss (x9 / امر))))"
263,Chapter 6 .,(c / chapter :mod 6),VI 。,(x1 / VI),فصل ۶,(x / فصل :mod 6)
264,"Oh , little prince !","(p / prince
      :mod (l / little))",啊 ， 小 王子 ！,"(x6 / and
      :op1()  (x1 / 啊)
      :op2()  (x4 / 王子
            :mod()  (x3 / 小))
      :mode()  (x5 / expressive))",آه ای شازده کوچولو،‌,"(x / و
      :op1 (x2 / آه :mode expressive)
      :op2 (x3 / ای
            :ARG1 (x4 / شازده
                  :mod (x5 / کوچولو))
            :mode (e / exclamative)))"
265,Bit by bit I came to understand the secrets of your sad little life ...,"(u / understand-01
      :ARG0 (i / i)
      :ARG1 (s / secret
            :poss (l / life
                  :poss (y / you)
                  :mod (l2 / little)
                  :ARG1-of (s2 / sad-02)))
      :manner (b / bit-by-bit))",就 这样 ， 我 逐渐 懂得 了 你 那 忧郁 的 生活 。,"(x6 / 懂得-01
      :arg0()  (x4 / 我)
      :manner()  (x5 / 逐渐)
      :aspect()  (x7 / 了)
      :arg1()  (x12 / 生活
            :mod()  (x9 / 那)
            :poss()  (x8 / 你)
            :mod(x11)  (x10 / 忧郁))
      :manner()  (x2 / 这样
            :mod()  (x1 / 就)))",من همينطور کم‌کم به زندگی محدود و غم‌انگيز تو پی‌بردم.,"(x / پی‌بردن
      :ARG0 (x2 / من)
      :ARG1 (x4 / زندگی
            :poss (x5 / تو)
            :mod (x6 / و
                  :op1 (x7 / محدود)
                  :op2 (x8 / غم‌انگیز)))
      :mod (x3 / کم‌کم)
      :manner (x9 / همینطور))"
266,For a long time you had found your only entertainment in the quiet pleasure of looking at the sunset .,"(f / find-01
      :ARG0 (y / you)
      :ARG1 (e / entertain-01
            :ARG0 (l2 / look-01
                  :ARG0 y
                  :ARG1 (s / sunset)
                  :mod (p / pleasure
                        :ARG1-of (q / quiet-04)))
            :ARG1 y
            :mod (o / only))
      :ARG1-of (l / long-03))",过去 相当 长 的 时间 里 你 唯一 的 乐趣 就 是 观赏 那 夕阳 西下 的 温柔 晚景 。,"(x13 / 观赏-01
      :arg1()  (x19 / 晚景
            :mod()  (x18 / 温柔)
            :arg0-of(x17)  (x25 / mean
                  :arg1()  (x16 / 西下
                        :arg0()  (x15 / 夕阳)))
            :mod()  (x14 / 那))
      :domain(x12)  (x10 / 乐趣
            :poss()  (x7 / 你)
            :mod(x9)  (x8 / 唯一))
      :mod()  (x11 / 就)
      :duration(x6)  (x5 / 时间
            :mod(x4)  (x3 / 长
                  :degree()  (x2 / 相当))
            :time()  (x1 / 过去)))",تو مدتها بجز لطف غروبهای خورشيد تفريحی نداشته‌ای.,"(x / داشتن :polarity -
      :ARG0 (x2 / تو)
      :ARG1 (x3 / تفریح)
      :time (x4 / مدت)
      :mod (e / except-01
            :ARG1 (x6 / لطف
                  :poss (x7 / غروب‌کردن
                        :ARG0 (x8 / خورشید)))))"
267,"I learned that new detail on the morning of the fourth day , when you said to me : "" I am very fond of sunsets .","(l / learn-01
      :ARG0 (i / i)
      :ARG1 (d / detail
            :ARG1-of (n / new-01)
            :mod (t / that))
      :time (d3 / date-entity
            :dayperiod (m / morning)
            :mod (d2 / day
                  :ord (o / ordinal-entity :value 4)))
      :time (s / say-01
            :ARG0 (y / you)
            :ARG1 (l2 / like-01
                  :ARG0 y
                  :ARG1 (s2 / sunset)
                  :degree (v / very))
            :ARG2 i))",这个 新 的 细节 ， 是 我 在 第四 天 早晨 知道 的 。 你 当时 对 我 说道 ： “ 我 喜欢 看 日落 。,"(x27 / multi-sentence
      :snt1()  (x12 / 知道-01
            :arg0()  (x7 / 我)
            :arg1()  (x4 / 细节
                  :mod(x3)  (x2 / 新)
                  :mod()  (x1 / 这个))
            :time(x8)  (x11 / 早晨
                  :time()  (x10 / 天
                        :ord()  (x36 / ordinal-entity
                              :value()  (x9 / 4))))
            :mode()  (x6_x13 / judgement))
      :snt2()  (x19 / 说道-01
            :arg0()  (x15 / 你)
            :time()  (x16 / 当时)
            :arg2(x17)  (x18 / 我)
            :arg1()  (x23 / 喜欢-01
                  :arg0()  (x22 / x15)
                  :arg1()  (x24 / 看-02
                        :arg1()  (x25 / 日落)
                        :arg0()  (x22 / x15)))))",من اين نکته تازه را صبح روز چهارم فهميدم، وقتی به من گفتی: من غروب خورشيد را بسيار دوست دارم.,"(x / فهمیدن
      :ARG0 (x2 / من)
      :ARG1 (x3 / نکته
            :mod (x4 / این)
            :mod (x14 / تازه))
      :time (d / date-entity
            :dayperiod (x5 / صبح)
            :mod (x6 / روز
                  :ord (o / ordinal-entity :value 4)))
      :time (x7 / گفتن
            :ARG0 (x8 / تو)
            :ARG1 (x10 / دوست‌داشتن
                  :ARG0 x8
                  :ARG1 (x11 / غروب‌کردن
                        :ARG0 (x12 / خورشید))
                  :degree (x13 / زیاد))
            :ARG2 (x9 / من)))"
268,"Come , let us go look at a sunset now . ""","(a / and
      :op1 (c / come-01 :mode imperative
            :ARG1 (y / you))
      :op2 (g / go-05 :mode imperative
            :ARG0 w
            :ARG1 (l / look-01
                  :ARG0 (w / we)
                  :ARG1 (s / sunset)
                  :time (n / now))))",我们 去 看 一 回 日落 吧 ！ ”,"(x10 / say
      :arg1()  (x2 / 去-01
            :arg1()  (x3 / 看-02
                  :arg0()  (x1 / 我们)
                  :arg1()  (x6 / 日落
                        :quant()  (x4 / 1)
                        :cunit()  (x5 / 回)))
            :mode()  (x8_x9 / expressive)))",برويم غروب آفتاب را تماشا کنيم...,"(x / رفتن :mode imperative
      :ARG0 (x3 / ما)
      :purpose (x2 / تماشاکردن
            :ARG0 x3
            :ARG1 (x4 / غروب‌کردن
                  :ARG0 (x5 / خورشید))))"
269,""" But we must wait , ""","(c / contrast-01
      :ARG2 (o / obligate-01
            :ARG2 (w2 / wait-01
                  :ARG1 (w / we))))",“ 可是 得 等 着 … ”,"(x8 / say
      :arg1()  (x10 / contrast
            :arg2(x2)  (x3 / 得
                  :arg0()  (x4 / 等
                        :aspect()  (x5 / 着)))))",ولی بايد منتظر شد.,"(c / contrast-01
      :ARG2 (x / بایستن
            :ARG1 (x2 / منتظرشدن)))"
270,I said .,"(s / say-01
  :ARG0 (i / i))",我 说 。,"(x2 / 说-01
      :arg0()  (x1 / 我))",من گفتم,"(x / گفتن
      :ARG0 (x2 / من))"
271,""" Wait ?",(w / wait-01 :mode interrogative),“ 等 什么 ？ ”,"(x6 / say
      :arg1()  (x2 / 等-01
            :arg1()  (x3 / amr-unknown)
            :mode()  (x4 / interrogative)))",منتظر؟,"(x / منتظرشدن
      :mode (i2 / introgative))"
272,"For what ? ""","(w / wait-01
      :ARG2 (a / amr-unknown))",“ 等 什么 ？ ”,"(x6 / say
      :arg1()  (x2 / 等-01
            :arg1()  (x3 / amr-unknown)
            :mode()  (x4 / nterrogative)))",برای چه؟,"(p / purpose
      :mode (i2 / introgative))"
273,""" For the sunset .","(w / wait-01
      :ARG2 (s / sunset))",“ 等 太阳 落山 。 ”,"(x7 / say
      :arg1()  (x2 / 等-01
            :arg0()  (x4 / 落山
                  :arg0()  (x3 / 太阳))))",منتظر غروب خورشيد.,"(x / منتظرشدن
      :ARG1 (x2 / غروب‌کردن
            :ARG0 (x3 / خورشید)))"
274,"We must wait until it is time . ""","(o / obligate-01
      :ARG2 (w2 / wait-01
            :ARG1 (w / we)
            :duration (u / until
                  :op1 (t / time))))",我们 必须 等 到 那个 时候 。,"(x2 / 必须-01
      :arg0()  (x3 / 等-01
            :arg0()  (x1 / 我们)
            :arg1(x4)  (x6 / 时候
                  :mod()  (x5 / 那个))))",باید صبر کنیم تا زمانش فرا برسد.,"(x / بایستن
      :ARG1 (x2 / صبرکردن
            :ARG0 (x3 / ما)
            :duration (x4 / فرارسیدن
                  :op1 (x5 / زمان
                        :poss (x6 / آن)))))"
275,At first you seemed to be very much surprised .,"(s / seem-01
      :ARG1 (s2 / surprise-01
            :ARG1 (y / you)
            :degree (m / much
                  :degree (v / very)))
      :time (a / at-first))",开始 ， 你 显得 很 惊奇 的 样子 ，,"(x16 / temporal
      :arg1(x1)  (x4 / 显得-01
            :arg0()  (x3 / 你)
            :arg1()  (x8 / 样子
                  :mod(x7)  (x6 / 惊奇-01
                        :degree()  (x5 / 很)
                        :arg0()  (x3 / 你)))))",تو اول به ظاهر بسيار تعجب کردی،,"(x / تعجب‌کردن
      :ARG0 (x2 / تو)
      :mod (x3 / ظاهرا)
      :time (x4 / اول)
      :degree (x5 / بسیار))"
276,And then you laughed to yourself .,"(a / and
      :op1 (l / laugh-01
            :ARG0 (y / you)
            :ARG2 y
            :time (t / then)))",随后 你 笑 自己 的 糊涂 。,"(x8 / temporal
      :arg2(x1)  (x3 / 笑-02
            :arg0()  (x2 / 你)
            :arg1()  (x6 / 糊涂-01
                  :arg0(x5)  (x4 / x2))))",بعد به خودت خنديدی,"(x / خندیدن
      :ARG0 (x2 / تو)
      :ARG1 x2
      :time (x3 / بعد))"
277,"You said to me : "" I am always thinking that I am at home ! ""","(s / say-01
      :ARG0 (y / you)
      :ARG1 (t / think-01
            :ARG0 y
            :ARG1 (b / be-located-at-91
                  :ARG1 y
                  :ARG2 (h / home))
            :time (a / always))
      :ARG2 (i / i))",你 对 我 说 ： “ 我 总 以为 是 在 我 的 家乡 呢 ！ ”,"(x4 / 说-01
      :arg0()  (x1 / 你)
      :arg2(x2)  (x3 / 我)
      :arg1()  (x9 / 以为-01
            :time()  (x8 / 总)
            :arg1(x10)  (x11 / 在-01
                  :arg1()  (x14 / 家乡
                        :poss(x13)  (x12 / x3)))
            :mode()  (x15_x16 / expressive)))",به من گفتی: من هميشه خيال می‌کنم در خانه خودم هستم.,"(x / گفتن
      :ARG0 (x2 / تو)
      :ARG1 (x4 / خیال‌کردن
            :ARG1 (b / be-located-at-91
                  :ARG1 x2
                  :ARG2 (x6 / خانه
                        :poss x2))
            :time (x5 / همیشه))
      :ARG2 (x3 / من)
      :ARG0 x2)"
278,Just so .,"(s / so
  :mod (j / just))",确实 ，,(x1 / 确实),به هر حال,"(x / حال
      :mod (x2 / هر))"
279,Everybody knows that when it is noon in the United States the sun is setting over France .,"(k / know-01
      :ARG0 (e / everybody)
      :ARG1 (s / set-11
            :ARG1 (s2 / sun)
            :location (c2 / country :wiki ""France""
                  :name (n3 / name :op1 ""France""))
            :time (d / date-entity :time ""12:00""
                  :location (c / country :wiki ""United_States""
                        :name (n2 / name :op1 ""United"" :op2 ""States"")))))",大家 都 知道 ， 在 美国 是 正午 时分 ，,"(x3 / 知道-01
      :mod()  (x2 / 都)
      :arg0()  (x1 / 大家)
      :arg1(x7)  (x9 / date-entity
            :time()  (x8 / name :op1 ""12:00"")
            :location(x5)  (x6 / 美国)))",در واقع وقتی در ايالات متحد آمريکا ظهر است، همه می‌دانند که در فرانسه آفتاب غروب می‌کند.,"(x / دانستن
      :ARG0 (x2 / همه)
      :ARG1 (x3 / غروب‌کردن
            :ARG0 (x4 / آفتاب)
            :location (x5 / کشور :wiki ""فرانسه"" :name (x7 / فرانسه))
            :time (d / date-entity
                  :dayperiod (x6 / ظهر)
                  :location (x8 / کشور :wiki ""ایالات_متحده_آمریکا"" :name (n / name :op1 ""ایالات"" :op2 ""متحد"" :op3 ""آمریکا""))
                  :mod (x9 / درواقع))))"
280,"If you could fly to France in one minute , you could go straight into the sunset , right from noon .","(p / possible-01
      :ARG1 (g / go-02
            :ARG0 y
            :ARG3 (d / date-entity :time ""12:00"")
            :ARG4 (s / sunset)
            :ARG1-of (s2 / straight-04))
      :condition (p2 / possible-01
            :ARG1 (f / fly-01
                  :ARG1 (y / you)
                  :duration (t / temporal-quantity :quant 1
                        :unit (m / minute))
                  :destination (c / country :wiki ""France"" :name (n / name :op1 ""France"")))))",在 法国 ， 正 夕阳 西下 ， 只要 在 一 分钟 内 赶到 法国 就 可 看到 日落 。,"(x20 / and
      :op1()  (x6 / 西下
            :arg0()  (x5 / 夕阳)
            :mod()  (x4 / 正)
            :location(x1)  (x2 / 法国))
      :op2()  (x26 / condition
            :arg1(x8)  (x13 / 赶到-01
                  :arg1()  (x14 / 法国)
                  :duration(x9)  (x12 / temporal-quantty
                        :quant()  (x10 / 1)
                        :unit()  (x11 / 分钟)))
            :arg2(x15)  (x16 / 可-02
                  :arg0()  (x17 / 看到-01
                        :arg1()  (x18 / 日落)))))",کافی است در يک دقيقه به فرانسه رسيد تا غروب خورشيد را تماشا کرد.,"(x / کافی
      :domain (x2 / رسیدن
            :ARG1 (x3 / کشور :wiki ""فرانسه"" :name (x4 / فرانسه))
            :duration (t / temporal-quantity :quant 1
                  :unit (x5 / دقیقه))
            :purpose (x6 / تماشاکردن
                  :ARG1 (x7 / غروب‌کردن
                        :ARG0 (x8 / خورشید)))))"
281,"Unfortunately , France is too far away for that .","(f / fortunate-01 :polarity -
      :ARG2 (b / be-located-at-91
            :ARG1 (c / country :wiki ""France""
                  :name (n / name :op1 ""France""))
            :ARG2 (a / away
                  :extent (f2 / far
                        :degree (t / too)))
            :purpose (t2 / that)))",可惜 法国 是 那么 的 遥远 。,"(x1 / 可惜-01
      :arg0(x3)  (x6 / 遥远
            :arg0()  (x2 / 法国)
            :degree(x5)  (x4 / 那么)))",متاسفانه فرانسه بسيار دور است،,"(x / دور
      :domain (x2 / کشور :wiki ""فرانسه"" :name (x3 / فرانسه))
      :degree (x4 / بسیار))"
282,"But on your tiny planet , my little prince , all you need do is move your chair a few steps .","(s2 / say-01
      :ARG1 (c2 / contrast-01
            :ARG2 (o / obligate-01
                  :ARG2 (m / move-01
                        :ARG0 p2
                        :ARG1 (c / chair
                              :poss p2)
                        :extent (s / step
                              :quant (f / few))
                        :mod (o2 / only))
                  :location (p / planet
                        :mod (t / tiny)
                        :poss (p2 / prince
                              :mod (l / little)
                              :poss (i / i)))))
      :ARG2 p2)",而 在 你 那样 的 小 行星 上 ， 你 只要 把 你 的 椅子 挪动 几 步 就 行 了 。,"(x39 / contrast
      :arg2(x1)  (x23 / condition
            :arg1(x11)  (x16 / 挪动-01
                  :arg0()  (x10 / x3)
                  :arg1(x12)  (x15 / 椅子
                        :poss(x14)  (x13 / 你))
                  :extent()  (x17 / 几
                        :op1()  (x30 / temporal-quantity
                              :quant()  (x31 / 1)
                              :cunit()  (x18 / 步)))
                  :arg2(x19)  (x20 / 行
                        :aspect()  (x21 / 了)))
            :location(x2_x8)  (x7 / 行星
                  :mod()  (x6 / 小)
                  :mod(x5)  (x4 / 那样)
                  :poss()  (x3 / 你))))",ولی در سياره تو که به اين کوچکی است، کافی بود تو صندليت را چند قدم جلوتر بکشی,"(c / contrast-01
      :ARG2 (x / کافی
            :domain (x2 / کشیدن
                  :ARG0 (x3 / تو)
                  :ARG1 (x4 / صندلی
                        :poss x3)
                  :extent (x6 / قدم
                        :mod (x7 / چند))
                  :destination (x5 / جلو
                        :ARG2-of (h2 / have-degree-91
                              :ARG2 (x12 / برتر))))
            :location (x8 / سیاره
                  :poss x3
                  :mod (x9 / کوچک))))"
283,You can see the day end and the twilight falling whenever you like ...,"(p / possible-01
      :ARG1 (s / see-01
            :ARG0 (y / you)
            :ARG1 (a / and
                  :op1 (e / end-01
                        :ARG1 (d / day))
                  :op2 (f / fall-04
                        :ARG1 (t / twilight)))
            :time (l / like-02
                  :ARG0 y
                  :ARG1 s
                  :mod (a2 / any))))",这样 ， 你 便 可 随时 看到 你 想 看 的 夕阳 余辉 … “,"(x16 / say
      :arg1()  (x5 / 可-02
            :mod()  (x4 / 便)
            :arg0()  (x7 / 看到-01
                  :time()  (x6 / 随时)
                  :arg0()  (x3 / 你)
                  :arg1()  (x13 / 余辉
                        :poss()  (x12 / 夕阳)
                        :arg1-of(x11)  (x10 / 看-02
                              :arg0()  (x3 / 你)
                              :arg1-of()  (x9 / 想-02
                                    :arg0()  (x3 / 你)))))
            :manner()  (x1 / 这样)))",تا هر چند بار که دلت می‌خواست، غروب را تماشا کنی...,"(p / purpose
      :op1 (x / تماشاکردن
            :ARG0 (x2 / تو)
            :ARG1 (x3 / غروب‌کردن
                  :ARG0 (x4 / خورشید))
            :time (x8 / خواستن
                  :ARG0 x2
                  :frequency (x5 / بار
                        :mod (x6 / هر)
                        :quant (x7 / چند)))))"
284,""" One day , "" you said to me , "" I saw the sunset forty - four times ! ""","(s / say-01
      :ARG0 (y / you)
      :ARG1 (s2 / see-01 :frequency 44
            :ARG0 y
            :ARG1 (s3 / sunset)
            :time (d / day
                  :mod (o / one)))
      :ARG2 (i / i))",一 天 ， 我 看见 过 四十三 次 日落 。 ” 你 对 我 说 。,"(x15 / 说-01
      :arg0()  (x12 / 你)
      :arg3(x13)  (x14 / 我)
      :arg1()  (x5 / 看见-01
            :arg0()  (x4 / x12)
            :arg1()  (x9 / 日落
                  :time()  (x2 / 天
                        :quant()  (x1 / 1))
                  :frequency(x8)  (x7 / 43))
            :aspect()  (x6 / 过-01)))",- من يک روز چهل‌وسه‌بار غروب خورشيد را ديدم!,"(x / دیدن :frequency 44
      :ARG0 (x2 / من)
      :ARG1 (x3 / غروب‌کردن
            :ARG0 (x4 / خورشید))
      :time (x5 / روز :mod ""یک""))"
